"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-02",,,"0.03",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-10",,,"2.75","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-11",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-19",,,"0.25","2.8","6.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-20",,,"0.05","1.5","7.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-24",,,"0.00","0.0","2.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-12",,,"0.03",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-16",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-17",,,"0.22","2.2","2.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-05",,,"0.26",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-07","    2","0.82",,,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-08",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-09",,,"0.00","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-10",,,"1.04","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-27",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-28",,,"0.84",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-01",,,"0.49",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-02",,,"0.62",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-03",,,"0.65",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-04",,,"1.40",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-24",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-01",,,"0.19",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-02",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-03",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-10",,,"0.06",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-12",,,"0.30",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-15",,,"0.30",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-23",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-24",,,"0.02",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-27",,,"0.02",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-28",,,"0.97",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-06",,,"0.18",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-07",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-08",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-14",,,"0.14",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-15",,,"0.24",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-20",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-27",,,"0.16",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-06-30",,,"0.34",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-07-05",,,"0.02",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-07-16",,,"0.01",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-07-17",,,"0.15",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-02","   16","2.94",,,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-03",,,"1.80",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-04",,,"0.81",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-07",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-08",,,"0.83",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-09",,,"0.90",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-10",,,"0.43",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-11",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-12",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-17",,,"0.17",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-19","    2","1.77",,,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-26",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-27",,,"0.23",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-28",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-29",,,"0.62",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-08-30",,,"0.14",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-09-18",,,"0.30",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-09-27",,,"0.02",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-10-02",,,"0.21",,
